Bauperiode,Bezirk,Adresse
Nach 1976,01,Schanzelufer L
1884-1918,01,Michaelerplatz 1
1884-1918,01,Liliengasse 1
1860-1883,01,Pestalozzigasse 4
1860-1883,01,Pestalozzigasse 3
1860-1883,01,Pestalozzigasse 1
Vor 1683,01,Blutgasse 9
1683-1740,01,Blutgasse 7
1781-1848,01,Blutgasse 5
Vor 1683,01,Blutgasse 3
1946-1976,01,Aspernbrücke 106
1860-1883,01,Gauermanngasse 2 - 4
1860-1883,01,Elisabethstraße 24
1860-1883,01,Elisabethstraße 22
1860-1883,01,Elisabethstraße 20
1860-1883,01,Elisabethstraße 18
1860-1883,01,Elisabethstraße 16
1860-1883,01,Universitätsstraße 11
1860-1883,01,Elisabethstraße 15
1860-1883,01,Universitätsstraße 5
1860-1883,01,Elisabethstraße 14
1860-1883,01,Elisabethstraße 13
1860-1883,01,Elisabethstraße 26
1946-1976,01,Elisabethstraße 12
Vor 1683,01,Michaelerplatz 5
1946-1976,01,Tegetthoffstraße 1
1884-1918,01,Walfischgasse 3
1884-1918,01,Walfischgasse 1
1860-1883,01,Hegelgasse 21
1860-1883,01,Hegelgasse 19
1884-1918,01,Spiegelgasse 10
1781-1848,01,Spiegelgasse 9
1884-1918,01,Spiegelgasse 8
1884-1918,01,Spiegelgasse 6
1884-1918,01,Spiegelgasse 4
1884-1918,01,Spiegelgasse 3
1884-1918,01,Spiegelgasse 2
1884-1918,01,Spiegelgasse 1
Nach 1976,01,Michaelerplatz R
1741-1780,01,Seilergasse 15
1884-1918,01,Seilergasse 14
1884-1918,01,Seilergasse 9
1781-1848,01,Seilergasse 8
1781-1848,01,Seilergasse 6
1860-1883,01,Seilergasse 4
1884-1918,01,Seilergasse 3
1860-1883,01,Seilergasse 2
1884-1918,01,Tegetthoffstraße 7
1884-1918,01,Tegetthoffstraße 3
Vor 1683,01,Tegetthoffstraße 2
1884-1918,01,Seilergasse 16
1946-1976,01,Walfischgasse 4
1860-1883,01,Elisabethstraße 10
1860-1883,01,Elisabethstraße 7
1946-1976,01,Schwedenplatz 2
1946-1976,01,Schwedenplatz 3 - 4 / 2
1946-1976,01,Schwedenplatz 3 - 4 / 1
1860-1883,01,Renngasse 15
1860-1883,01,Renngasse 13
1683-1740,01,Renngasse 12
1946-1976,01,Renngasse 10
1946-1976,01,Renngasse 10 / 2
1860-1883,01,Renngasse 9
1946-1976,01,Schwedenbrücke 105
1860-1883,01,Oppolzergasse 6
1884-1918,01,Opernring 19
1884-1918,01,Opernring 11
1946-1976,01,Opernring 4 / 1
1884-1918,01,Renngasse 6 - 8
1860-1883,01,Renngasse 5
1683-1740,01,Renngasse 4
1781-1848,01,Renngasse 3
1884-1918,01,Renngasse 2
1683-1740,01,Renngasse 1
1860-1883,01,Elisabethstraße 1
1860-1883,01,Schwarzenbergstraße 8
1884-1918,01,Schwarzenbergstraße 5 - 7
1884-1918,01,Schwarzenbergstraße 1 - 3
1860-1883,01,Opernring 6
1860-1883,01,Elisabethstraße 8
1884-1918,01,Seitzergasse 6
1781-1848,01,Seitzergasse 5 A
1946-1976,01,Elisabethstraße 6 / 3
1946-1976,01,Elisabethstraße 6 / 4
1946-1976,01,Elisabethstraße 6 / 2
1781-1848,01,Landhausgasse 2
1781-1848,01,Landhausgasse 4
1860-1883,01,Schwarzenbergplatz 16
1860-1883,01,Schwarzenbergplatz 15
1860-1883,01,Schwarzenbergplatz 2
1860-1883,01,Schwarzenbergplatz 1
1860-1883,01,Elisabethstraße 5
1946-1976,01,Elisabethstraße 4 / 5
Vor 1683,01,Seitzergasse 5
1884-1918,01,Elisabethstraße 3 / 1
1884-1918,01,Elisabethstraße 3 / 2
1860-1883,01,Hegelgasse 17
1860-1883,01,Hegelgasse 15
1884-1918,01,Hegelgasse 14
Vor 1683,01,Am Gestade 1
Vor 1683,01,Am Gestade 3 - 7
Vor 1683,01,Am Gestade 3
Vor 1683,01,Am Gestade 5
Vor 1683,01,Am Gestade 7
1919-1945,01,Seitzergasse 2 - 4
1884-1918,01,Elisabethstraße 3
1860-1883,01,Kärntner Ring 18
1781-1848,01,Walfischgasse 5
1946-1976,01,Walfischgasse 6 / 2
1781-1848,01,Plankengasse 2
1884-1918,01,Plankengasse 1
1919-1945,01,Stallburggasse S
1884-1918,01,Stallburggasse 4
1884-1918,01,Stallburggasse 2
1781-1848,01,Göttweihergasse 1
1860-1883,01,Gölsdorfgasse 4
1860-1883,01,Gölsdorfgasse 3
1860-1883,01,Gölsdorfgasse 2 / 2
1860-1883,01,Gölsdorfgasse 2 / 1
1860-1883,01,Gölsdorfgasse 1
1884-1918,01,Plankengasse 3
1741-1780,01,Ballgasse 8
1781-1848,01,Ballgasse 6
1781-1848,01,Ballgasse 4
1860-1883,01,Kupferschmiedgasse 2
1946-1976,01,Dorotheergasse 24
1946-1976,01,Dorotheergasse 22
1946-1976,01,Dorotheergasse 20
1781-1848,01,Dorotheergasse 18
1884-1918,01,Dorotheergasse 17
1781-1848,01,Dorotheergasse 16
1683-1740,01,Dorotheergasse 12
Vor 1683,01,Dorotheergasse 11
1884-1918,01,Plankengasse 4
1781-1848,01,Plankengasse 7
1860-1883,01,Rathausstraße 17
1860-1883,01,Rathausstraße 15
1884-1918,01,Rathausstraße 14 - 16
1860-1883,01,Rathausstraße 13
1860-1883,01,Rathausstraße 11
1860-1883,01,Rathausstraße 9
1860-1883,01,Rathausstraße 8
1860-1883,01,Rathausstraße 7
1860-1883,01,Rathausstraße 5
1884-1918,01,Rathausstraße 4
1860-1883,01,Rathausstraße 3
1884-1918,01,Rathausstraße 2
1946-1976,01,Rathausstraße 1
1781-1848,01,Plankengasse 6
1884-1918,01,Rauhensteingasse 10
1781-1848,01,Rauhensteingasse 8
1781-1848,01,Rauhensteingasse 7
1946-1976,01,Rauhensteingasse 6
1884-1918,01,Rauhensteingasse 5
1683-1740,01,Rauhensteingasse 4
1781-1848,01,Rauhensteingasse 3
1781-1848,01,Rauhensteingasse 1
1860-1883,01,Gluckgasse 3
1884-1918,01,Gluckgasse 2
1884-1918,01,Gluckgasse 1
Nach 1976,01,Friedrich-Schmidt-Platz T
1946-1976,01,Walfischgasse 6 / 1
1683-1740,01,Dorotheergasse 10
1884-1918,01,Dorotheergasse 7
1884-1918,01,Führichgasse 1
1781-1848,01,Bräunerstraße 11 A
1781-1848,01,Bräunerstraße 11
1781-1848,01,Bräunerstraße 10
1683-1740,01,Bräunerstraße 7
1683-1740,01,Bräunerstraße 5
1860-1883,01,Rathausplatz 1
1781-1848,01,Bräunerstraße 4 - 6
1741-1780,01,Bräunerstraße 3
1946-1976,01,Bräunerstraße 2 / 3
Vor 1683,01,Schönlaterngasse 7
1860-1883,01,Bräunerstraße 2
1860-1883,01,Führichgasse 2
1884-1918,01,Sterngasse 11
Nach 1976,01,Albertinaplatz S
1860-1883,01,Albertinaplatz 1
Nach 1976,01,Spiegelgasse S
1946-1976,01,Walfischgasse 9
1884-1918,01,Walfischgasse 11
1781-1848,01,Spiegelgasse 23
1884-1918,01,Weihburggasse 9
1884-1918,01,Spiegelgasse 21
1884-1918,01,Spiegelgasse 19
1884-1918,01,Spiegelgasse 13
1683-1740,01,Walfischgasse 7
1860-1883,01,Stubenring 5
1683-1740,01,Dorotheergasse 9
1860-1883,01,Führichgasse 4
1884-1918,01,Führichgasse 8
1884-1918,01,Dorotheergasse 6 - 8
1884-1918,01,Dorotheergasse 5
1884-1918,01,Dorotheergasse 3
1683-1740,01,Dorotheergasse 2 - 4
1683-1740,01,Habsburgergasse 14
Vor 1683,01,Habsburgergasse 12
1884-1918,01,Habsburgergasse 10
1884-1918,01,Biberstraße 26
1884-1918,01,Habsburgergasse 7
1884-1918,01,Dominikanerbastei 19
1860-1883,01,Führichgasse 6
1884-1918,01,Habsburgergasse 6 - 8
1781-1848,01,Graben 13
1683-1740,01,Habsburgergasse 5
1683-1740,01,Habsburgergasse 4
1884-1918,01,Himmelpfortgasse 3
1884-1918,01,Habsburgergasse 3
1884-1918,01,Habsburgergasse 2
1860-1883,01,Habsburgergasse 1 - 1 - A
1860-1883,01,Krugerstraße 17
1860-1883,01,Kärntner Ring 17
1781-1848,01,Blumenstockgasse 5
1946-1976,01,Führichgasse 10
1884-1918,01,Fleischmarkt 7
1860-1883,01,Kärntner Ring 16
1860-1883,01,Kärntner Ring 15
1946-1976,01,Tiefer Graben 12
1884-1918,01,Tiefer Graben 9
1946-1976,01,Tiefer Graben 8 - 10
1884-1918,01,Tiefer Graben 7
1683-1740,01,Tiefer Graben 4
1683-1740,01,Seilerstätte 22
1884-1918,01,Seilerstätte 18 - 20
1884-1918,01,Seilerstätte 17
1884-1918,01,Seilerstätte 16
1860-1883,01,Seilerstätte 15
1860-1883,01,Seilerstätte 13
1946-1976,01,Seilerstätte 12
1946-1976,01,Tiefer Graben 14
1860-1883,01,Seilerstätte 11
1946-1976,01,Seilerstätte 10 / 2
1884-1918,01,Seilerstätte 9
Vor 1683,01,Seilerstätte 8
1860-1883,01,Seilerstätte 7
1781-1848,01,Seilerstätte 5
1781-1848,01,Seilerstätte 3 - 3 - A
1849-1859,01,Seilerstätte 2
1781-1848,01,Seilerstätte 1
1860-1883,01,Hanuschgasse 3 / 3
1860-1883,01,Hanuschgasse 3 / 1
1860-1883,01,Hanuschgasse 3 / 4
1860-1883,01,Hanuschgasse 3 / 2
1946-1976,01,Seilerstätte 10 / 1
1884-1918,01,Hanuschgasse 3 / 5
1781-1848,01,Tiefer Graben 16
1860-1883,01,Auwinkel 4
1860-1883,01,Hegelgasse 5
1860-1883,01,Hegelgasse 4
1860-1883,01,Rudolfsplatz 13 A
1860-1883,01,Rudolfsplatz 12
1860-1883,01,Rudolfsplatz 11
1860-1883,01,Rudolfsplatz 10
1946-1976,01,Rudolfsplatz 8 / 2
1946-1976,01,Rudolfsplatz 8 / 1
1884-1918,01,Rudolfsplatz 6
1919-1945,01,Rudolfsplatz 5 B
1860-1883,01,Rudolfsplatz 5
1860-1883,01,Rudolfsplatz 4
1860-1883,01,Rudolfsplatz 3
1741-1780,01,Tiefer Graben 18
1860-1883,01,Rudolfsplatz 2
1860-1883,01,Rudolfsplatz 1
1860-1883,01,Hegelgasse 3
1884-1918,01,Färbergasse 10
1946-1976,01,Färbergasse 8
1781-1848,01,Färbergasse 6
Nach 1976,01,Färbergasse 4
1781-1848,01,Färbergasse 3
1884-1918,01,Tiefer Graben 30 - 32
1946-1976,01,Tiefer Graben 20
1884-1918,01,Tiefer Graben 19
1860-1883,01,Hegelgasse 6
1860-1883,01,Hanuschgasse 1
1860-1883,01,Schmerlingplatz 2
1849-1859,01,Domgasse 1
1860-1883,01,Christinengasse 4
1860-1883,01,Nibelungengasse 15
1860-1883,01,Nibelungengasse 13
1860-1883,01,Nibelungengasse 11
1884-1918,01,Zollamtssteg 108
1884-1918,01,Wiesingerstraße 8
1884-1918,01,Wiesingerstraße 6
1884-1918,01,Wiesingerstraße 3
1884-1918,01,Wiesingerstraße 1
1741-1780,01,Domgasse 4
1884-1918,01,An der Hülben 1
Vor 1683,01,Stephansplatz 1
1884-1918,01,Stephansplatz 2
1683-1740,01,Stephansplatz 3
1781-1848,01,Stephansplatz 5
1781-1848,01,Stephansplatz 6
1946-1976,01,Stephansplatz 9
1860-1883,01,Operngasse 4
1860-1883,01,Operngasse 6
1884-1918,01,Jakobergasse 4
1884-1918,01,An der Hülben 4
Vor 1683,01,Domgasse 5
1884-1918,01,Domgasse 8
1860-1883,01,Schmerlingplatz 3
1860-1883,01,Schmerlingplatz 8
Nach 1976,01,Schmerlingplatz
1860-1883,01,Bösendorferstraße 13
1860-1883,01,Bösendorferstraße 12
1860-1883,01,Bösendorferstraße 9
1860-1883,01,Bösendorferstraße 7
1884-1918,01,Schwertgasse 2
1683-1740,01,Schwertgasse 3
1884-1918,01,Schwertgasse 4
1884-1918,01,Passauer Platz 2
1741-1780,01,Domgasse 6
1946-1976,01,Passauer Platz 5 / 1
1946-1976,01,Passauer Platz 5 / 3
1946-1976,01,Passauer Platz 5 / 2
1946-1976,01,Passauer Platz 5 / 4
1884-1918,01,Passauer Platz 8
Vor 1683,01,Passauer Platz K
1860-1883,01,Bösendorferstraße 6
1860-1883,01,Bösendorferstraße 5
1860-1883,01,Bösendorferstraße 4
1860-1883,01,Bösendorferstraße 3
1860-1883,01,Bösendorferstraße 2
1860-1883,01,Bösendorferstraße 1
Vor 1683,01,Passauer Platz 3
1860-1883,01,Hegelgasse 7
1860-1883,01,Hegelgasse 8
1860-1883,01,Hegelgasse 12
1946-1976,01,Himmelpfortgasse 4
1884-1918,01,Himmelpfortgasse 2
1946-1976,01,Himmelpfortgasse 1
1884-1918,01,Akademiestraße 2
1860-1883,01,Johannesgasse 33
1884-1918,01,Johannesgasse 33 S
1781-1848,01,Grünangergasse 12
1781-1848,01,Grünangergasse 10
1860-1883,01,Johannesgasse 26
1860-1883,01,Johannesgasse 23
Vor 1683,01,Himmelpfortgasse 5
1860-1883,01,Johannesgasse 22
1860-1883,01,Johannesgasse 18
1860-1883,01,Johannesgasse 16
1683-1740,01,Johannesgasse 15 / 2
1683-1740,01,Johannesgasse 15 / 1
1781-1848,01,Johannesgasse 15 / 3
1860-1883,01,Johannesgasse 14
1860-1883,01,Johannesgasse 12
1946-1976,01,Johannesgasse 9 - 13 / 1
1946-1976,01,Johannesgasse 9 - 13 / 2
1946-1976,01,Johannesgasse 9 - 13 / 3
Vor 1683,01,Johannesgasse 8 K
1683-1740,01,Johannesgasse 8
1860-1883,01,Johannesgasse 20
1781-1848,01,Johannesgasse 7
1683-1740,01,Himmelpfortgasse 6 - 8
1683-1740,01,Himmelpfortgasse 8
1860-1883,01,Kärntner Ring 14
1860-1883,01,Kärntner Ring 12
Nach 1976,01,Kärntner Ring 11 - 13 / 7
1860-1883,01,Kärntner Ring 10
Nach 1976,01,Kärntner Ring 9
1860-1883,01,Kärntner Ring 8
1860-1883,01,Kärntner Ring 6
Nach 1976,01,Kärntner Ring 5 - 7
1860-1883,01,Kärntner Ring 4
1860-1883,01,Kärntner Ring 3
1946-1976,01,Kärntner Ring 2 A
1946-1976,01,Kärntner Ring 2
1860-1883,01,Kärntner Ring 1
1683-1740,01,Himmelpfortgasse 6
1860-1883,01,Opernring 2
1946-1976,01,Kärntner Ring 1 S
1860-1883,01,Akademiestraße 12
1860-1883,01,Himmelpfortgasse 20
Vor 1683,01,Himmelpfortgasse 19
1741-1780,01,Himmelpfortgasse 17
Vor 1683,01,Himmelpfortgasse 15
1884-1918,01,Himmelpfortgasse 14
1683-1740,01,Himmelpfortgasse 13
Vor 1683,01,Himmelpfortgasse 12
Keine Angabe,01,Himmelpfortgasse 11
Vor 1683,01,Himmelpfortgasse 10
Vor 1683,01,Himmelpfortgasse 9
1683-1740,01,Himmelpfortgasse 8 B
1781-1848,01,Johannesgasse 6
1683-1740,01,Johannesgasse 5 - 5 - A
1884-1918,01,Johannesgasse 4 / 1
Vor 1683,01,Grünangergasse 1
1860-1883,01,Mahlerstraße 14
1860-1883,01,Mahlerstraße 13
Nach 1976,01,Mahlerstraße 12 / 5
Nach 1976,01,Mahlerstraße 12 / 6
1860-1883,01,Mahlerstraße 11
1860-1883,01,Mahlerstraße 9
1860-1883,01,Mahlerstraße 7
1860-1883,01,Mahlerstraße 5
1946-1976,01,Mahlerstraße 3
1860-1883,01,Parkring 20
1860-1883,01,Parkring 18
1860-1883,01,Parkring 16
1946-1976,01,Parkring 12
1884-1918,01,Parkring 12 S
1860-1883,01,Parkring 8
1860-1883,01,Parkring 4 / 2
1860-1883,01,Parkring 4 / 1
1860-1883,01,Parkring 2
1946-1976,01,Seilerstätte 30
1683-1740,01,Seilerstätte 28
1683-1740,01,Seilerstätte 26
1884-1918,01,Seilerstätte 24
1860-1883,01,Hegelgasse 13
Nach 1976,01,Parkring 12 A
1884-1918,01,Grünangergasse 2
1884-1918,01,Grünangergasse 3 - 5
1683-1740,01,Grünangergasse 4
1884-1918,01,Johannesgasse 4 A
1946-1976,01,Johannesgasse 4 / 2
1884-1918,01,Johannesgasse 3
1781-1848,01,Johannesgasse 2
1884-1918,01,Johannesgasse 1
1849-1859,01,Predigergasse 5
1849-1859,01,Predigergasse 3
1884-1918,01,Dominikanerbastei 22
1946-1976,01,Dominikanerbastei 21
1884-1918,01,Dominikanerbastei 17
1884-1918,01,Dominikanerbastei 10
1884-1918,01,Dominikanerbastei 6
1849-1859,01,Dominikanerbastei 5
1884-1918,01,Dominikanerbastei 4
1884-1918,01,Schulerstraße 22
1884-1918,01,Schulerstraße 20
1884-1918,01,Schulerstraße 18
1884-1918,01,Schulerstraße 12
Vor 1683,01,Schulerstraße 10
Vor 1683,01,Schulerstraße 6
1860-1883,01,Schulerstraße 1 - 3
1683-1740,01,Grünangergasse 8
1781-1848,01,Grünangergasse 7
1741-1780,01,Grünangergasse 6
1860-1883,01,Rathausstraße 19
1884-1918,01,Rathausstraße 20
1860-1883,01,Auerspergstraße 2
Keine Angabe,01,Rathausplatz T
1946-1976,01,Rathausplatz C
1884-1918,01,Riemergasse 1 - 3
1781-1848,01,Riemergasse 2
1884-1918,01,Riemergasse 4
1884-1918,01,Riemergasse 6
1884-1918,01,Riemergasse 7
1884-1918,01,Riemergasse 8
1884-1918,01,Riemergasse 9
1884-1918,01,Riemergasse 10
1860-1883,01,Schubertring 3
Nach 1976,01,Rathausplatz W
1860-1883,01,Schubertring 4
1860-1883,01,Schubertring 6
1860-1883,01,Schubertring 7
1860-1883,01,Schubertring 8
1860-1883,01,Schubertring 9
1946-1976,01,Schubertring 10 - 12
1946-1976,01,Schubertring 14 S
1860-1883,01,Schubertring 14
1884-1918,01,Riemergasse 11
1884-1918,01,Riemergasse 12
1860-1883,01,Riemergasse 13 / 2
1860-1883,01,Riemergasse 13 / 1
1919-1945,01,Riemergasse 14
Vor 1683,01,Herrengasse 21
1860-1883,01,Schubertring 5
1884-1918,01,Annagasse 1
1860-1883,01,Rathausplatz 8
1860-1883,01,Rathausplatz 3
1884-1918,01,Freyung 6 / 8
1781-1848,01,Freyung 6 / 7
1781-1848,01,Freyung 6 / 1
Keine Angabe,01,Freyung 6 / 10
Keine Angabe,01,Freyung 4 / 2
1683-1740,01,Freyung 4 / 1
1683-1740,01,Freyung 4
1683-1740,01,Freyung 3 - 3 - A
1849-1859,01,Freyung 2
1781-1848,01,Freyung 1
1683-1740,01,Ledererhof 9
1683-1740,01,Ledererhof 2
1860-1883,01,Rathausplatz 4
1884-1918,01,Schellinggasse 13
1860-1883,01,Maysedergasse 1
1884-1918,01,Maysedergasse 2
1860-1883,01,Maysedergasse 3
1860-1883,01,Maysedergasse 5
1884-1918,01,Fichtegasse 2
1860-1883,01,Fichtegasse 2 A
1860-1883,01,Fichtegasse 5
1860-1883,01,Fichtegasse 11
1860-1883,01,Schellinggasse 12
1860-1883,01,Freyung 6 / 9
Vor 1683,01,Annagasse 3 B
1860-1883,01,Wollzeile 14
1884-1918,01,Wollzeile 15
1860-1883,01,Wollzeile 16
1884-1918,01,Wollzeile 17
1884-1918,01,Wollzeile 18
1884-1918,01,Wollzeile 19
Vor 1683,01,Wollzeile 20
1919-1945,01,Wollzeile 21
1849-1859,01,Wollzeile 22
1919-1945,01,Wollzeile 23
1884-1918,01,Wollzeile 24
1884-1918,01,Wollzeile 25
1683-1740,01,Wollzeile 13
1919-1945,01,Wollzeile 27
1919-1945,01,Wollzeile 30
1884-1918,01,Wollzeile 31
1919-1945,01,Wollzeile 32
1884-1918,01,Wollzeile 33
1919-1945,01,Wollzeile 34
1884-1918,01,Wollzeile 36
1946-1976,01,Stubenbastei 1
1884-1918,01,Stubenbastei 2
1884-1918,01,Stubenbastei 6 - 8
1884-1918,01,Stubenbastei 10
1884-1918,01,Stubenbastei 12
1683-1740,01,Herrengasse 9
1884-1918,01,Wollzeile 29
1884-1918,01,Annagasse 3 - 3 - A
1781-1848,01,Wollzeile 12 / 3
1781-1848,01,Wollzeile 12 / 2
Vor 1683,01,Annagasse 4
1741-1780,01,Annagasse 5
Vor 1683,01,Annagasse 6
1683-1740,01,Annagasse 7
1683-1740,01,Annagasse 8
1683-1740,01,Annagasse 9
1683-1740,01,Annagasse 10
Vor 1683,01,Annagasse 14
1683-1740,01,Annagasse 16
1683-1740,01,Annagasse 18
1946-1976,01,Herrengasse 21 / 2
Vor 1683,01,Herrengasse 19
1946-1976,01,Wollzeile 12 / 1
1849-1859,01,Herrengasse 14 / 3
1849-1859,01,Herrengasse 14 / 1
1781-1848,01,Herrengasse 13
1884-1918,01,Herrengasse 12
1884-1918,01,Herrengasse 10
1849-1859,01,Wollzeile 1
1781-1848,01,Wollzeile 1 - 3
1781-1848,01,Wollzeile 3
1781-1848,01,Wollzeile 5
1683-1740,01,Wollzeile 7
1781-1848,01,Wollzeile 9
1781-1848,01,Wollzeile 11
1849-1859,01,Herrengasse 14 / 2
1781-1848,01,Herrengasse 7
Vor 1683,01,Freyung 6 B
1781-1848,01,Freyung 6 / 2
1884-1918,01,Wipplingerstraße 20
1884-1918,01,Wipplingerstraße 21
1884-1918,01,Wipplingerstraße 22
1884-1918,01,Wipplingerstraße 23
1884-1918,01,Wipplingerstraße 24 - 26
1884-1918,01,Wipplingerstraße 25
1860-1883,01,Wipplingerstraße 28
1860-1883,01,Wipplingerstraße 29
1860-1883,01,Wipplingerstraße 30
1860-1883,01,Wipplingerstraße 31
1884-1918,01,Wipplingerstraße 32
1860-1883,01,Wipplingerstraße 34
1946-1976,01,Wipplingerstraße 19
1946-1976,01,Wipplingerstraße 35
1946-1976,01,Goldschmiedgasse 2
1946-1976,01,Goldschmiedgasse 3
1860-1883,01,Goldschmiedgasse 4
1860-1883,01,Goldschmiedgasse 5
1860-1883,01,Goldschmiedgasse 6
1860-1883,01,Goldschmiedgasse 8
1860-1883,01,Goldschmiedgasse 9 / 1
1884-1918,01,Goldschmiedgasse 10
1781-1848,01,Bankgasse 1
1683-1740,01,Bankgasse 2
1860-1883,01,Bankgasse 3
1860-1883,01,Wipplingerstraße 36 - 38
Vor 1683,01,Bankgasse 4 - 6
1884-1918,01,Wipplingerstraße 18
1946-1976,01,Wipplingerstraße 14
1849-1859,01,Naglergasse 1
1884-1918,01,Naglergasse 2
1781-1848,01,Naglergasse 3
1884-1918,01,Naglergasse 4
1781-1848,01,Naglergasse 5
1884-1918,01,Naglergasse 6
1781-1848,01,Naglergasse 9
1884-1918,01,Naglergasse 10
1884-1918,01,Naglergasse 12
Vor 1683,01,Naglergasse 13
Vor 1683,01,Naglergasse 15
Vor 1683,01,Naglergasse 17
1884-1918,01,Wipplingerstraße 15
Vor 1683,01,Naglergasse 19
Vor 1683,01,Naglergasse 23
Vor 1683,01,Naglergasse 25
Vor 1683,01,Naglergasse 27
1683-1740,01,Naglergasse 28
1884-1918,01,Wipplingerstraße 1
1884-1918,01,Wipplingerstraße 2
1860-1883,01,Wipplingerstraße 3
1946-1976,01,Wipplingerstraße 4
Vor 1683,01,Wipplingerstraße 6 - 8
1860-1883,01,Wipplingerstraße 11
1884-1918,01,Wipplingerstraße 12
1860-1883,01,Wipplingerstraße 13
1683-1740,01,Naglergasse 21
1781-1848,01,Freyung 6 / 3
Vor 1683,01,Bankgasse 8
1849-1859,01,Schultergasse 1
1860-1883,01,Walfischgasse 12
1860-1883,01,Walfischgasse 13
1860-1883,01,Walfischgasse 14
1860-1883,01,Walfischgasse 15
1860-1883,01,Schellinggasse 1
1860-1883,01,Schellinggasse 3
1860-1883,01,Schellinggasse 5
1860-1883,01,Schellinggasse 6
1860-1883,01,Schellinggasse 7
1884-1918,01,Kleeblattgasse 4
Vor 1683,01,Herrengasse 23
Keine Angabe,01,Freyung
Nach 1976,01,Freyung T
1781-1848,01,Freyung A
1741-1780,01,Freyung 7
1860-1883,01,Freyung 6 / 13
Keine Angabe,01,Freyung 6 / 11
1860-1883,01,Freyung 6 / 12
Vor 1683,01,Freyung 6 / 4
1781-1848,01,Freyung 6
Vor 1683,01,Freyung 6 / 5
Vor 1683,01,Freyung 6 / 6
Vor 1683,01,Freyung 6 A
Vor 1683,01,Herrengasse 21 / 1
1683-1740,01,Bankgasse 9
Vor 1683,01,Kleeblattgasse 5
1860-1883,01,Kleeblattgasse 11
1860-1883,01,Schultergasse 3
1781-1848,01,Schultergasse 5
1781-1848,01,Steindlgasse 2
Vor 1683,01,Steindlgasse 4
Vor 1683,01,Steindlgasse 6
1884-1918,01,Wallnerstraße 2
1683-1740,01,Wallnerstraße 3
1683-1740,01,Wallnerstraße 4
1683-1740,01,Wallnerstraße 8
1860-1883,01,Mölker Bastei 3
1683-1740,01,Kleeblattgasse 7
1781-1848,01,Mölker Bastei 8
1781-1848,01,Mölker Bastei 10
1860-1883,01,Mölker Bastei 12
1781-1848,01,Mölker Bastei 14
1919-1945,01,Mölker Bastei 16 / 2
1884-1918,01,Rosengasse 3
1946-1976,01,Rosengasse 4
1860-1883,01,Rosengasse 8
1860-1883,01,Walfischgasse 8
1946-1976,01,Walfischgasse 10
1860-1883,01,Kleeblattgasse 13
1860-1883,01,Mölker Bastei 5 / 1
1919-1945,01,Herrengasse 6 - 8 / 8
1919-1945,01,Herrengasse 6 - 8 / 3
1919-1945,01,Herrengasse 6 - 8 / 4
Vor 1683,01,Tuchlauben 23
1884-1918,01,Tuchlauben 21
Vor 1683,01,Tuchlauben 19
1884-1918,01,Tuchlauben 18
1683-1740,01,Tuchlauben 17
1860-1883,01,Tuchlauben 16
1884-1918,01,Tuchlauben 14
1884-1918,01,Tuchlauben 12
1781-1848,01,Tuchlauben 11
1884-1918,01,Tuchlauben 8
1884-1918,01,Tuchlauben 7 A
1884-1918,01,Tuchlauben 7
Vor 1683,01,Tuchlauben 5
1946-1976,01,Marc-Aurel-Straße 2 B / 7
1683-1740,01,Tuchlauben 4
1884-1918,01,Tuchlauben 3
1884-1918,01,Brandstätte 7 - 9
1946-1976,01,Brandstätte 5
1946-1976,01,Brandstätte 3
1946-1976,01,Brandstätte 1
1884-1918,01,Bognergasse 7
1884-1918,01,Schreyvogelgasse 2
1884-1918,01,Schenkenstraße 8
1946-1976,01,Schenkenstraße 4
Vor 1683,01,Schenkenstraße 2
1946-1976,01,Marc-Aurel-Straße 2 A / 6
1884-1918,01,Fleischmarkt 1
1781-1848,01,Judengasse 11
1781-1848,01,Judengasse 7
1946-1976,01,Judengasse 5
1946-1976,01,Judengasse 4
1781-1848,01,Judengasse 3
1946-1976,01,Judengasse 1 / 2
1946-1976,01,Judengasse 1 A / 1
1919-1945,01,Hoher Markt W
1884-1918,01,Hoher Markt 12
1884-1918,01,Hoher Markt 10 - 11
1946-1976,01,Marc-Aurel-Straße 2 / 5
1946-1976,01,Hoher Markt 8 - 9 / 4
1946-1976,01,Hoher Markt 8 - 9 / 3
1781-1848,01,Hoher Markt 5
1946-1976,01,Hoher Markt 4
1946-1976,01,Hoher Markt 3
1884-1918,01,Marc-Aurel-Straße 10 - 12
1884-1918,01,Marc-Aurel-Straße 9
1884-1918,01,Marc-Aurel-Straße 8
1884-1918,01,Marc-Aurel-Straße 7
1884-1918,01,Marc-Aurel-Straße 6
1884-1918,01,Marc-Aurel-Straße 5
1946-1976,01,Marc-Aurel-Straße 4
1884-1918,01,Marc-Aurel-Straße 3
1946-1976,01,Hoher Markt 8 - 9
1884-1918,01,Fleischmarkt 3
1860-1883,01,Börseplatz 6
1860-1883,01,Börseplatz 1
Keine Angabe,01,Schottengasse 3 / 3
Keine Angabe,01,Schottengasse 3 / 7
Keine Angabe,01,Schottengasse 3 / 8
Keine Angabe,01,Schottengasse 3 / 5
1884-1918,01,Schottengasse 1
1884-1918,01,Löwelstraße 20
1860-1883,01,Löwelstraße 18
1860-1883,01,Löwelstraße 14 - 16
